Codigo,NomeCompleto,ProfissaoDesejada,Sexo,DataNascimento,PretencaoSalarial,UF,MunicipioDeNascimento,EstadoCivil
1,Raul Vitor Lopes da Costa,Analista,M,01/01/1972 00:00,1500,AC,Rio Branco,Solteiro
2,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,02/01/1972 00:00,5000,AC,Senador Guiomard,Casado
3,Juliana Abreu Amaral,Dona do Google,F,03/01/1972 00:00,2000,RO,Porto Velho,Divorciado
4,Cleyciane Farias,Empresaria,F,04/01/1972 00:00,2000,SP,São Paulo,Viuvo
5,Jonivalber Manoel Silva,Médico,M,05/01/1972 00:00,1500,AC,Rio Branco,Solteiro
6,Raina Maria Maia,Bióloga,M,06/01/1972 00:00,1500,AC,Rio Branco,Solteiro
7,Raul Vitor Lopes da Costa,Analista,M,07/01/1972 00:00,1500,AC,Rio Branco,Solteiro
8,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,08/01/1972 00:00,1500,AC,Rio Branco,Solteiro
9,Juliana Abreu Amaral,Dona do Google,F,09/01/1972 00:00,1500,AC,Rio Branco,Solteiro
10,Cleyciane Farias,Empresaria,F,10/01/1972 00:00,1500,AC,Rio Branco,Solteiro
11,Jonivalber Manoel Silva,Médico,M,11/01/1972 00:00,1500,AC,Rio Branco,Solteiro
12,Raina Maria Maia,Bióloga,M,12/01/1972 00:00,1500,AC,Rio Branco,Solteiro
13,Raul Vitor Lopes da Costa,Analista,M,13/01/1972 00:00,1500,AC,Rio Branco,Solteiro
14,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,14/01/1972 00:00,3700,AC,Rio Branco,Casado
15,Juliana Abreu Amaral,Dona do Google,F,15/01/1972 00:00,1500,AC,Rio Branco,Solteiro
16,Cleyciane Farias,Empresaria,F,16/01/1972 00:00,1500,AC,Rio Branco,Solteiro
17,Jonivalber Manoel Silva,Médico,M,17/01/1972 00:00,1500,AC,Rio Branco,Solteiro
18,Jonivalber Manoel Silva,Médico,M,18/01/1972 00:00,1500,AC,Rio Branco,Solteiro
19,Raina Maria Maia,Bióloga,M,19/01/1972 00:00,1500,AC,Rio Branco,Solteiro
20,Raul Vitor Lopes da Costa,Analista,M,20/01/1972 00:00,1500,AC,Rio Branco,Solteiro
21,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,21/01/1972 00:00,1500,AC,Rio Branco,Solteiro
22,Juliana Abreu Amaral,Dona do Google,F,22/01/1972 00:00,1500,AC,Rio Branco,Solteiro
23,Cleyciane Farias,Empresaria,F,23/01/1972 00:00,1500,AC,Rio Branco,Solteiro
24,Jonivalber Manoel Silva,Médico,M,24/01/1972 00:00,1500,AC,Rio Branco,Solteiro
25,Raina Maria Maia,Bióloga,M,25/01/1972 00:00,1500,AC,Rio Branco,Solteiro
26,Raul Vitor Lopes da Costa,Analista,M,26/01/1972 00:00,1500,AC,Rio Branco,Solteiro
27,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,27/01/1972 00:00,1500,AC,Rio Branco,Solteiro
28,Juliana Abreu Amaral,Dona do Google,F,28/01/1972 00:00,1500,AC,Rio Branco,Solteiro
29,Cleyciane Farias,Empresaria,F,29/01/1972 00:00,1500,AC,Rio Branco,Solteiro
30,Jonivalber Manoel Silva,Médico,M,30/01/1972 00:00,1500,AC,Rio Branco,Solteiro
31,Raul Vitor Lopes da Costa,Analista,M,31/01/1972 00:00,1500,AC,Rio Branco,Solteiro
32,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,01/02/1972 00:00,1500,AC,Rio Branco,Solteiro
33,Juliana Abreu Amaral,Dona do Google,F,02/02/1972 00:00,2000,RO,Porto Velho,Divorciado
34,Cleyciane Farias,Empresaria,F,03/02/1972 00:00,2000,SP,São Paulo,Viuvo
35,Jonivalber Manoel Silva,Médico,M,04/02/1972 00:00,1500,AC,Rio Branco,Solteiro
36,Raina Maria Maia,Bióloga,M,05/02/1972 00:00,1500,AC,Rio Branco,Solteiro
37,Raul Vitor Lopes da Costa,Analista,M,06/02/1972 00:00,1500,AC,Rio Branco,Solteiro
38,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,07/02/1972 00:00,1500,AC,Rio Branco,Solteiro
39,Juliana Abreu Amaral,Dona do Google,F,08/02/1972 00:00,1500,AC,Rio Branco,Solteiro
40,Cleyciane Farias,Empresaria,F,09/02/1972 00:00,1500,AC,Rio Branco,Solteiro
41,Jonivalber Manoel Silva,Médico,M,10/02/1972 00:00,1500,AC,Rio Branco,Solteiro
42,Raina Maria Maia,Bióloga,M,11/02/1972 00:00,1500,AC,Rio Branco,Solteiro
43,Raul Vitor Lopes da Costa,Analista,M,12/02/1972 00:00,1500,AC,Rio Branco,Solteiro
44,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,13/02/1972 00:00,1500,AC,Rio Branco,Solteiro
45,Juliana Abreu Amaral,Dona do Google,F,14/02/1972 00:00,1500,AC,Rio Branco,Solteiro
46,Cleyciane Farias,Empresaria,F,15/02/1972 00:00,1500,AC,Rio Branco,Solteiro
47,Jonivalber Manoel Silva,Médico,M,16/02/1972 00:00,1500,AC,Rio Branco,Solteiro
48,Jonivalber Manoel Silva,Médico,M,17/02/1972 00:00,1500,AC,Rio Branco,Solteiro
49,Raina Maria Maia,Bióloga,M,18/02/1972 00:00,1500,AC,Rio Branco,Solteiro
50,Raul Vitor Lopes da Costa,Analista,M,19/02/1972 00:00,1500,AC,Rio Branco,Solteiro
51,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,20/02/1972 00:00,1500,AC,Rio Branco,Solteiro
52,Juliana Abreu Amaral,Dona do Google,F,21/02/1972 00:00,1500,AC,Rio Branco,Solteiro
53,Cleyciane Farias,Empresaria,F,22/02/1972 00:00,1500,AC,Rio Branco,Solteiro
54,Jonivalber Manoel Silva,Médico,M,23/02/1972 00:00,1500,AC,Rio Branco,Solteiro
55,Raina Maria Maia,Bióloga,M,24/02/1972 00:00,1500,AC,Rio Branco,Solteiro
56,Raul Vitor Lopes da Costa,Analista,M,25/02/1972 00:00,1500,AC,Rio Branco,Solteiro
57,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,26/02/1972 00:00,1500,AC,Rio Branco,Solteiro
58,Juliana Abreu Amaral,Dona do Google,F,27/02/1972 00:00,1500,AC,Rio Branco,Solteiro
59,Raul Vitor Lopes da Costa,Analista,M,28/02/1972 00:00,1500,AC,Rio Branco,Solteiro
60,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,29/02/1972 00:00,1500,AC,Rio Branco,Solteiro
61,Juliana Abreu Amaral,Dona do Google,F,01/03/1972 00:00,2000,RO,Porto Velho,Divorciado
62,Cleyciane Farias,Empresaria,F,02/03/1972 00:00,2000,SP,São Paulo,Viuvo
63,Jonivalber Manoel Silva,Médico,M,03/03/1972 00:00,1500,AC,Rio Branco,Solteiro
64,Raina Maria Maia,Bióloga,M,04/03/1972 00:00,1500,AC,Rio Branco,Solteiro
65,Raul Vitor Lopes da Costa,Analista,M,05/03/1972 00:00,1500,AC,Rio Branco,Solteiro
66,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,06/03/1972 00:00,1500,AC,Rio Branco,Solteiro
67,Juliana Abreu Amaral,Dona do Google,F,07/03/1972 00:00,1500,AC,Rio Branco,Solteiro
68,Cleyciane Farias,Empresaria,F,08/03/1972 00:00,1500,AC,Rio Branco,Solteiro
69,Jonivalber Manoel Silva,Médico,M,09/03/1972 00:00,1500,AC,Rio Branco,Solteiro
70,Raina Maria Maia,Bióloga,M,10/03/1972 00:00,1500,AC,Rio Branco,Solteiro
71,Raul Vitor Lopes da Costa,Analista,M,11/03/1972 00:00,1500,AC,Rio Branco,Solteiro
72,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,12/03/1972 00:00,1500,AC,Rio Branco,Solteiro
73,Juliana Abreu Amaral,Dona do Google,F,13/03/1972 00:00,1500,AC,Rio Branco,Solteiro
74,Cleyciane Farias,Empresaria,F,14/03/1972 00:00,1500,AC,Rio Branco,Solteiro
75,Jonivalber Manoel Silva,Médico,M,15/03/1972 00:00,1500,AC,Rio Branco,Solteiro
76,Jonivalber Manoel Silva,Médico,M,16/03/1972 00:00,1500,AC,Rio Branco,Solteiro
77,Raina Maria Maia,Bióloga,M,17/03/1972 00:00,1500,AC,Rio Branco,Solteiro
78,Raul Vitor Lopes da Costa,Analista,M,18/03/1972 00:00,1500,AC,Rio Branco,Solteiro
79,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,19/03/1972 00:00,1500,AC,Rio Branco,Solteiro
80,Juliana Abreu Amaral,Dona do Google,F,20/03/1972 00:00,1500,AC,Rio Branco,Solteiro
81,Cleyciane Farias,Empresaria,F,21/03/1972 00:00,1500,AC,Rio Branco,Solteiro
82,Jonivalber Manoel Silva,Médico,M,22/03/1972 00:00,1500,AC,Rio Branco,Solteiro
83,Raina Maria Maia,Bióloga,M,23/03/1972 00:00,1500,AC,Rio Branco,Solteiro
84,Raul Vitor Lopes da Costa,Analista,M,24/03/1972 00:00,1500,AC,Rio Branco,Solteiro
85,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,25/03/1972 00:00,1500,AC,Rio Branco,Solteiro
86,Juliana Abreu Amaral,Dona do Google,F,26/03/1972 00:00,1500,AC,Rio Branco,Solteiro
87,Cleyciane Farias,Empresaria,F,27/03/1972 00:00,1500,AC,Rio Branco,Solteiro
88,Jonivalber Manoel Silva,Médico,M,28/03/1972 00:00,1500,AC,Rio Branco,Solteiro
89,Raul Vitor Lopes da Costa,Analista,M,29/03/1972 00:00,1500,AC,Rio Branco,Solteiro
90,Marcelo Vinicius Falcão Martins,Programador de Jogos,M,30/03/1972 00:00,1500,AC,Rio Branco,Solteiro
91,Juliana Abreu Amaral,Dona do Google,F,31/03/1972 00:00,2000,RO,Porto Velho,Divorciado
92,Cleyciane Farias,Empresaria,F,01/04/1972 00:00,2000,SP,São Paulo,Viuvo
